Nama,Masuk,Keluar,Duration,Coba
DeleteAllJSON,15:02:14,15:02:14,0.581,1
DeleteAllJSON,15:09:07,15:09:07,0.072,2
DeleteAllJSON,15:19:02,15:19:02,0.598,3
DeleteAllJSON,15:19:10,15:19:10,0.505,4
DeleteAllJSON,15:19:18,15:19:18,0.586,5
DeleteAllJSON,15:19:25,15:19:25,0.609,6
DeleteAllJSON,15:19:36,15:19:36,0.507,7
DeleteAllJSON,15:19:43,15:19:43,0.504,8
DeleteAllJSON,15:19:50,15:19:50,0.506,9
DeleteAllJSON,16:16:25,16:16:25,0.508,10
DeleteAllJSON,16:16:32,16:16:32,0.507,11
DeleteAllJSON,16:16:39,16:16:39,0.069,12
DeleteAllJSON,16:18:13,16:18:13,0.505,13
DeleteAllJSON,16:18:20,16:18:20,0.507,14
DeleteAllJSON,16:18:27,16:18:27,0.505,15
DeleteAllJSON,16:18:35,16:18:35,0.531,16
DeleteAllJSON,16:18:41,16:18:41,0.504,17
DeleteAllJSON,16:18:49,16:18:49,0.506,18
DeleteAllJSON,16:18:58,16:18:58,0.505,19
DeleteAllJSON,16:20:30,16:20:30,0.505,20
DeleteAllJSON,16:20:37,16:20:37,0.506,21
DeleteAllJSON,16:20:44,16:20:44,0.580,22
DeleteAllJSON,16:20:52,16:20:52,0.558,23
DeleteAllJSON,16:20:58,16:20:58,0.504,24
DeleteAllJSON,16:21:05,16:21:05,0.592,25
DeleteAllJSON,16:21:12,16:21:12,0.574,26
DeleteAllJSON,16:21:39,16:21:39,0.547,27
DeleteAllJSON,16:21:47,16:21:47,0.505,28
DeleteAllJSON,16:21:54,16:21:54,0.594,29
DeleteAllJSON,16:22:02,16:22:02,1.511,30
DeleteAllPostgreSQL,15:08:00,15:08:00,2.032,1
DeleteAllPostgreSQL,15:09:49,15:09:49,4.381,2
DeleteAllPostgreSQL,15:19:04,15:19:04,3.514,3
DeleteAllPostgreSQL,15:19:12,15:19:12,1.518,4
DeleteAllPostgreSQL,15:19:19,15:19:19,2.563,5
DeleteAllPostgreSQL,15:19:26,15:19:26,1.616,6
DeleteAllPostgreSQL,15:19:38,15:19:38,2.516,7
DeleteAllPostgreSQL,15:19:45,15:19:45,1.521,8
DeleteAllPostgreSQL,15:19:52,15:19:52,1.516,9
DeleteAllPostgreSQL,16:16:26,16:16:26,2.038,10
DeleteAllPostgreSQL,16:16:34,16:16:34,1.538,11
DeleteAllPostgreSQL,16:16:41,16:16:41,3.205,12
DeleteAllPostgreSQL,16:18:14,16:18:14,2.199,13
DeleteAllPostgreSQL,16:18:21,16:18:21,3.515,14
DeleteAllPostgreSQL,16:18:28,16:18:28,2.519,15
DeleteAllPostgreSQL,16:18:36,16:18:36,2.547,16
DeleteAllPostgreSQL,16:18:43,16:18:43,3.605,17
DeleteAllPostgreSQL,16:18:50,16:18:50,1.593,18
DeleteAllPostgreSQL,16:18:59,16:18:59,1.932,19
DeleteAllPostgreSQL,16:20:32,16:20:32,1.512,20
DeleteAllPostgreSQL,16:20:38,16:20:38,1.512,21
DeleteAllPostgreSQL,16:20:45,16:20:45,2.803,22
DeleteAllPostgreSQL,16:20:53,16:20:53,2.023,23
DeleteAllPostgreSQL,16:21:00,16:21:00,2.741,24
DeleteAllPostgreSQL,16:21:07,16:21:07,2.086,25
